"unigram","BigramTM","TrigramTM","freq"
"how","much","i",6
"how","to","get",6
"i","agree","with",6
"i","am","sure",6
"i","began","to",6
"i","can","be",6
"i","could","get",6
"i","could","have",6
"i","didnt","get",6
"i","didnt","want",6
"i","dont","get",6
"i","found","the",6
"i","get","home",6
"i","go","to",6
"i","grew","up",6
"i","hate","the",6
"i","have","seen",6
"i","know","but",6
"i","know","how",6
"i","know","the",6
"i","look","forward",6
"i","love","how",6
"i","may","be",6
"i","miss","my",6
"i","need","you",6
"i","think","we",6
"i","was","able",6
"i","was","the",6
"i","was","there",6
"i","wonder","how",6
"i","wonder","why",6
"i","would","never",6
"if","there","was",6
"if","this","is",6
"if","you","cant",6
"if","you","could",6
"if","you","would",6
"ill","let","you",6
"im","about","to",6
"im","looking","forward",6
"im","not","gonna",6
"im","ready","to",6
"im","tired","of",6
"in","and","out",6
"in","common","with",6
"in","my","mind",6
"in","order","for",6
"in","the","day",6
"in","the","fall",6
"in","the","process",6
"in","the","room",6
"in","the","woods",6
"is","a","little",6
"is","about","to",6
"is","also","a",6
"is","it","just",6
"is","not","an",6
"is","now","on",6
"is","part","of",6
"is","what","i",6
"is","why","i",6
"it","as","a",6
"it","back","to",6
"it","for","the",6
"it","is","going",6
"it","is","that",6
"it","may","be",6
"it","sounds","like",6
"it","was","like",6
"it","was","nice",6
"it","was","really",6
"its","gonna","be",6
"its","good","to",6
"just","in","time",6
"know","that","you",6
"know","what","i",6
"learn","more","about",6
"like","that","i",6
"little","bit","of",6
"long","enough","to",6
"love","to","have",6
"love","to","see",6
"make","it","happen",6
"makes","me","want",6
"many","of","the",6
"may","have","been",6
"me","i","will",6
"me","if","i",6
"me","know","if",6
"me","when","i",6
"minutes","or","until",6
"most","of","them",6
"much","better","than",6
"much","of","a",6
"must","have","been",6
"my","life","is",6
"new","years","eve",6
"no","idea","what",6
"not","able","to",6
"not","have","to",6
"of","my","friends",6
"of","the","country",6
"of","the","greatest",6
"of","the","month",6
"of","the","oven",6
"on","a","friday",6
"on","my","phone",6
"on","the","ground",6
"on","the","phone",6
"on","the","planet",6
"on","the","right",6
"on","their","own",6
"one","of","these",6
"one","who","is",6
"ought","to","be",6
"out","on","the",6
"over","the","next",6
"part","of","a",6
"parts","of","the",6
"please","tell","me",6
"ready","to","get",6
"ready","to","go",6
"rest","of","my",6
"see","if","i",6
"see","in","the",6
"see","you","at",6
"see","you","there",6
"she","is","a",6
"should","have","a",6
"should","not","be",6
"sit","down","and",6
"so","hard","to",6
"so","i","know",6
"so","it","is",6
"so","many","people",6
"so","much","i",6
"so","much","to",6
"some","of","these",6
"something","that","i",6
"sometimes","i","just",6
"st","patricks","day",6
"thank","you","to",6
"thanks","for","your",6
"thanks","to","the",6
"that","can","be",6
"that","if","i",6
"that","it","has",6
"that","no","one",6
"that","there","were",6
"that","they","were",6
"the","best","i",6
"the","best","of",6
"the","best","way",6
"the","day","and",6
"the","day","before",6
"the","first","one",6
"the","first","to",6
"the","future","of",6
"the","history","of",6
"the","idea","that",6
"the","key","to",6
"the","last","of",6
"the","life","you",6
"the","majority","of",6
"the","new","york",6
"the","one","i",6
"the","ones","that",6
"the","quality","of",6
"the","question","is",6
"the","story","is",6
"the","time","to",6
"the","university","of",6
"the","way","up",6
"the","way","you",6
"the","whole","thing",6
"the","world","of",6
"there","is","an",6
"there","is","so",6
"they","are","going",6
"they","are","to",6
"things","to","do",6
"this","kind","of",6
"this","year","the",6
"those","of","you",6
"thought","i","would",6
"to","be","here",6
"to","get","it",6
"to","hear","the",6
"to","hit","the",6
"to","keep","the",6
"to","lead","a",6
"to","leave","the",6
"to","say","the",6
"to","see","it",6
"to","see","that",6
"to","set","up",6
"to","spend","the",6
"to","start","a",6
"to","the","other",6
"to","the","public",6
"to","those","who",6
"to","use","the",6
"to","vote","for",6
"trying","to","figure",6
"trying","to","make",6
"tune","in","to",6
"two","years","ago",6
"up","at","the",6
"up","for","a",6
"up","for","the",6
"up","to","me",6
"up","with","the",6
"used","as","a",6
"version","of","the",6
"want","me","to",6
"want","to","know",6
"want","to","say",6
"wanted","to","go",6
"was","about","to",6
"was","looking","for",6
"was","to","be",6
"wasnt","going","to",6
"way","through","the",6
"we","are","looking",6
"we","can","all",6
"we","do","not",6
"we","dont","have",6
"we","got","to",6
"what","a","beautiful",6
"what","i","have",6
"what","i","want",6
"what","is","the",6
"what","is","your",6
"what","it","was",6
"what","you","do",6
"what","you","need",6
"when","i","look",6
"when","it","came",6
"when","you","are",6
"whether","or","not",6
"who","i","am",6
"who","you","are",6
"will","be","more",6
"will","have","a",6
"with","a","smile",6
"with","one","of",6
"working","on","my",6
"would","be","the",6
"would","it","be",6
"yes","i","am",6
"you","at","the",6
"you","can","go",6
"you","get","to",6
"you","got","it",6
"you","know","how",6
"you","right","now",6
"you","think","that",6
"you","would","like",6
"a","bit","more",5
"a","break","from",5
"a","copy","of",5
"a","decade","ago",5
"a","glass","of",5
"a","good","job",5
"a","good","way",5
"a","great","deal",5
"a","great","night",5
"a","lot","i",5
"a","lot","to",5
"a","loved","one",5
"a","place","to",5
"a","week","and",5
"a","whole","lot",5
"able","to","get",5
"across","the","country",5
"addition","to","the",5
"all","day","long",5
"all","have","a",5
"all","of","our",5
"all","of","them",5
"all","over","again",5
"an","attempt","to",5
"an","idea","of",5
"and","a","good",5
